Bit_Temperature,Casing Integrity,Cuttings,Depth_Temperature,Depth_of_Bit,MUD_Circulation,MUD_Density,MUD_Density_Rating,Permeability,Permeability_Rating,Porosity,Precipitation,Pressure,Rotary_Speed,Rotary_Torque,Weight_on_Bit,failure,score,sessionID,team,turn
318.0,Good,9,86.37785922657105,0,1192.5587607157725,10,Bad,9,Good,6,Fair,6.6,731.3182835304602,5092.0,6555.069122981505,False,0,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,0
348.0,Good,84,81.31174128069739,25,1086.1386931620877,14,Good,9,Good,6,Low,17.7,160.19154521668173,6264.0,6584.335231871859,False,1,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,1
235.0,Good,57,89.99169823669162,50,542.4495458731461,14,Good,4,Bad,3,High,26.9,219.16421338606597,3227.0,3665.044692309225,False,2,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,2
223.0,Good,35,88.51062855094604,75,742.9747901718537,12,Good,7,Fine,3,Low,37.8,515.5654921443348,2909.0,3940.3075432943842,False,3,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,3
182.0,Good,95,91.63268962431113,100,799.8572099945443,13,Good,7,Fine,2,Fair,50.4,347.7243137507137,2265.0,2960.1814728237896,False,4,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,4
268.0,Good,89,83.35682185903342,125,580.4453062310208,8,Bad,1,Bad,4,Low,60.5,225.5125842535932,4051.0,4501.9334377102905,False,5,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,5
338.0,Good,39,88.30998745943215,150,337.46051704900833,15,Good,4,Bad,5,Low,74.5,192.79256140181297,5131.0,5516.134823933493,False,6,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,6
253.0,Good,59,79.05978111538951,175,756.5171117185897,11,Good,6,Fine,4,Low,86.1,83.66392833285417,4158.0,4324.985461092385,True,-4,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,7
329.0,Good,55,99.23054307410618,200,501.0409891779707,15,Good,4,Bad,5,Fair,105.3,352.58722887952393,4742.0,5446.752947665762,False,-7,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,8
309.0,Good,60,88.08402587516196,225,1095.922411061836,9,Bad,8,Good,5,Low,114.3,370.8841926113246,5146.0,5887.318403152253,False,-6,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,9
189.0,Good,81,89.70552250321163,250,491.50495476262154,9,Bad,2,Bad,2,Fair,113.0,212.08393274723366,2270.0,2694.050282144867,False,-5,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,10
226.0,Good,54,83.74040908332644,275,965.6402682774699,10,Bad,8,Good,3,Fair,127.0,144.49902224902854,3661.0,3949.527613241946,False,-4,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,11
84.0,Good,32,95.01331551235174,300,1002.9707964692736,10,Bad,8,Good,1,High,137.8,462.7234784195481,311.0,1236.306035979575,False,-3,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,12
240.0,Good,95,84.38673470217066,325,502.60996960826355,13,Good,4,Bad,4,High,149.2,786.1590829019652,2828.0,4400.465353796624,False,-2,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,13
175.0,Good,76,91.38978271296294,350,1119.4659165601295,12,Good,10,Good,3,Low,154.2,740.5009178863962,2053.0,3533.877771382071,False,-1,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,14
362.0,Fair,31,91.05399895643941,375,865.5539466911304,13,Good,5,Fine,6,Low,169.6,270.5969502842982,6015.0,6555.8959896533925,False,0,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,15
366.0,Fair,89,88.3132882692056,400,361.89647860304746,12,Good,2,Bad,6,Low,206.3,620.9287417356726,5293.0,6534.8516054305255,False,1,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,16
192.0,Good,85,88.26905737847771,425,336.10372962307355,11,Good,2,Bad,2,High,204.1,238.27500475556766,2176.0,2652.968658610948,True,-9,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,17
343.0,Good,64,77.81737162867357,450,513.965114074032,9,Bad,3,Bad,6,High,204.2,568.1981881814135,5244.0,6380.440524247335,False,-12,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,18
349.0,Good,10,96.70759572309444,475,482.4778085586815,15,Good,1,Bad,6,Low,229.7,586.9443185623714,4947.0,6121.1829712425615,False,-11,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,19
107.0,Good,13,94.82073820347047,500,484.4388456040662,10,Bad,1,Bad,1,Fair,241.3,506.7022063530748,229.0,1242.029966827037,False,-10,o_qG6avWqyGwTZlRFmxKrAlpHZQ,4,20
